"","outcome.sure","outcome.x","p.x","outcome.y","w.p","choose.sure"
"1",65,120,0.9,10,0.5,FALSE
"2",65,120,0.1,10,0.5,TRUE
"3",65,120,0.5,10,0.5,TRUE
"4",71.47,120,0.74,10,0.558818181818182,FALSE
"5",36.58,120,0.09,10,0.241636363636364,TRUE
"6",95.67,120,0.91,10,0.778818181818182,TRUE
"7",36.34,120,0.28,10,0.239454545454545,FALSE
"8",88.42,120,0.94,10,0.712909090909091,TRUE
"9",24.76,120,0.07,10,0.134181818181818,FALSE
"10",48.15,120,0.33,10,0.346818181818182,FALSE
"11",79.33,120,0.91,10,0.630272727272727,FALSE
"12",27.07,120,0.05,10,0.155181818181818,FALSE
