"","outcome.sure","outcome.x","p.x","outcome.y","w.p","choose.sure"
"1",65,120,0.9,10,0.5,FALSE
"2",65,120,0.1,10,0.5,TRUE
"3",65,120,0.5,10,0.5,TRUE
"4",71.47,120,0.74,10,0.558818181818182,FALSE
"5",36.58,120,0.09,10,0.241636363636364,TRUE
"6",95.67,120,0.91,10,0.778818181818182,FALSE
"7",35.81,120,0.3,10,0.234636363636364,TRUE
"8",75.44,120,0.66,10,0.594909090909091,FALSE
"9",103.96,120,0.85,10,0.854181818181818,TRUE
"10",106.86,120,0.94,10,0.880545454545455,FALSE
"11",18.44,120,0.09,10,0.0767272727272727,TRUE
"12",56.17,120,0.49,10,0.419727272727273,TRUE
"13",25.46,120,0.25,10,0.140545454545455,TRUE
